oga_id,catalogue_number,supplier,rrid,gene_name,availability_checked,evidence_quote,evidence_type,checked_how,checked_on,previous_verdict
457,GTX134457,GeneTex,AB_2887286,MAPK1,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
458,16443-1-AP,Proteintech,AB_10603369,MAPK1,discontinued,[11-12 Aug] This product is currently not available for sale.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
465,PA5-65539,Thermo Fisher Scientific,AB_2664412,ITCH,available,[11-12 Aug] 389.47 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
468,GTX02845,GeneTex,AB_2915928,ITCH,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
469,ab280211,abcam,AB_2915930,ITCH,available,[11-12 Aug] Add to basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
470,ARP87308_P050,Aviva Systems Biology,AB_2915929,ITCH,available,[11-12 Aug] Select Your Size * -- Please Select --; Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
472,ab108515,abcam,AB_10860188,ITCH,available,[11-12 Aug] Price: Starts from $530,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
479,21186-1-AP,Proteintech,AB_10733125,KIF5A,available,"[11-12 Aug] Cat No. 21186-1-AP; £349/ 150 μL; Add to Basket; In stock in Manchester, UK.",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
480,67009-1-Ig,Proteintech,AB_2882326,KIF5A,available,"[11-12 Aug] Cat No. 67009-1-Ig; £349/ 150 μL; Add to Basket; In stock in Manchester, UK.",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
481,GTX104875,GeneTex,AB_1241009,KIF5A,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
482,GTX113761,GeneTex,AB_2037309,KIF5A,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
488,ab274322,abcam,AB_2938804,HTRA1,available,[11-12 Aug] Price: Starts from $245,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
490,PA5-83344,Thermo Fisher Scientific,AB_2790500,HTRA1,available,[11-12 Aug] 351.55 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
491,PA5-11412,Thermo Fisher Scientific,AB_2122815,HTRA1,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
492,55011-1-AP,Proteintech,AB_10859830,HTRA1,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
493,66770-1-Ig,Proteintech,AB_2882116,IFIH1,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
494,21775-1-AP,Proteintech,AB_10734593,IFIH1,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
495,2727,Cell Signaling Technology,AB_2126136,INPP5D,available,[11-12 Aug] To Purchase # 2727; £372; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
496,2725,Cell Signaling Technology,AB_2126137,INPP5D,available,[11-12 Aug] To Purchase # 2725; £372; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
498,MA5-14893,Thermo Fisher Scientific,AB_10977220,INPP5D,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
499,MA1-10449,Thermo Fisher Scientific,AB_11155187,INPP5D,available,[11-12 Aug] 316.00 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
500,MA1-10450,Thermo Fisher Scientific,AB_11154124,INPP5D,available,[11-12 Aug] 316.79 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
503,ab170896,abcam,AB_2885099,ALS2,available,[11-12 Aug] Price: Starts from $380,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
507,A5638,ABclonal,AB_2766398,ECE1,available,[11-12 Aug] 100 μL/￡295 Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
512,10833-1-AP,Proteintech,AB_2098246,EPHX2,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
514,NBP2-02948,Bio-Techne (Novus Biologicals),AB_3094849,EPHX2,available,[11-12 Aug] NBP2-02948 Contact Us For Delivery Time 0.1 ml / £446.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
515,MA5-25222,Thermo Fisher Scientific,AB_2723131,EPHX2,available,[11-12 Aug] 384.73 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
516,MA5-25223,Thermo Fisher Scientific,AB_2723132,EPHX2,available,[11-12 Aug] 385.52 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
517,GTX84570,GeneTex,AB_10726870,EPHX2,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
518,GTX84569,GeneTex,AB_10726946,EPHX2,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
519,ARP81017_P050,Aviva Systems Biology,AB_3698308,EPHX2,available,[11-12 Aug] EPHX2 Antibody - middle region (ARP81017_P050); Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
520,PA5-115222,Thermo Fisher Scientific,AB_2899858,FCER1G,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
521,PA5-28832,Thermo Fisher Scientific,AB_2546308,FCER1G,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
522,A12889,ABclonal,AB_2759732,FCER1G,available,[11-12 Aug] 100 μL/￡240 Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
523,78401,Cell Signaling Technology,AB_3094924,FCER1G,available,[11-12 Aug] To Purchase # 78401; £407; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
524,20379,Cell Signaling Technology,AB_3094923,FCER1G,available,[11-12 Aug] To Purchase # 20379; £335; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
530,PA5-29468,Thermo Fisher Scientific,AB_2546944,FETUB,available,[11-12 Aug] 384.73 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
531,GTX112260,GeneTex,AB_11172475,FETUB,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
546,MA5-35099,Thermo Fisher Scientific,AB_2849004,ACE,available,[11-12 Aug] 393.02 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
555,ab254222,abcam,AB_3073965,ACE,available,[11-12 Aug] Price: Starts from $215,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
557,ab270712,abcam,AB_3073963,ACE,discontinued,[11-12 Aug] Anti-Angiotensin Converting Enzyme 1 antibody [ACE/3765] (ab270712) is not available,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
558,ab75762,abcam,AB_1309952,ACE,available,[11-12 Aug] Price: Starts from $185,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
560,NBP2-52874,Bio-Techne (Novus Biologicals),AB_2885157,FUS,available,[11-12 Aug] NBP2-52874-25ul Arrives in 16 - 18 Business Days 25 ul / £252.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
561,GTX01039,GeneTex,AB_2888934,FUS,discontinued,[11-12 Aug] FUS antibody [JJ09-31] (GTX01039) has been discontinued.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
565,60160-1-Ig,Proteintech,AB_10666169,FUS,discontinued,[11-12 Aug] This product is currently not available for sale.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
566,11570-1-AP,Proteintech,AB_2247082,FUS,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
567,MA3-089,Thermo Fisher Scientific,AB_2633334,FUS,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
568,MA5-32483,Thermo Fisher Scientific,AB_2809760,FUS,available,[11-12 Aug] 397.32 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
569,ab124923,abcam,AB_10972861,FUS,available,[11-12 Aug] Price: Starts from $270,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
570,ab154141,abcam,AB_2885092,FUS,available,[11-12 Aug] Price: Starts from $605,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
571,ab243880,abcam,AB_2885123,FUS,available,[11-12 Aug] Price: Starts from $575,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
589,PA5-61254,Thermo Fisher Scientific,AB_2637895,ALS2,available,[11-12 Aug] 379.20 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
593,PA5-89249,Thermo Fisher Scientific,AB_2805443,ANG,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
594,ab95389,abcam,AB_10864903,ANG,discontinued,[11-12 Aug] Anti-Angiogenin antibody (ab95389) is not available,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
595,MA5-25052,Thermo Fisher Scientific,AB_2723879,ANXA11,available,[11-12 Aug] 384.73 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
597,PA5-82983,Thermo Fisher Scientific,AB_2790139,ANXA11,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
598,GTX114255,GeneTex,AB_10620672,ANXA11,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
599,ab236599,abcam,AB_2893216,ANXA11,discontinued,"Abcam: page renders in full with no price and no buy panel, but carries NO discontinuation notice (OBSERVATION, NOT A QUOTE). Contrast Abcam discontinued controls ab4193/ab39969, whose titles read ""is not available"" and whose pages state ""This product is discontinued"".",no_purchase_option_no_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
600,ab137424,abcam,AB_2893183,ANXA11,discontinued,"Abcam: page renders in full with no price and no buy panel, but carries NO discontinuation notice (OBSERVATION, NOT A QUOTE). Contrast Abcam discontinued controls ab4193/ab39969, whose titles read ""is not available"" and whose pages state ""This product is discontinued"".",no_purchase_option_no_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
601,AC-ANXA11-1,SGC,,ANXA11,not_rechecked,"[11-12 Aug] Abcam: ""We couldn't find any products or resources matching your search 'AC-ANXA11-1'""; EUbOPEN table lists only scFv FASTA sequence, no Addgene entry",,not re-checked on 30 Aug,2026-08-12,unclear
603,ARP85286_P050,Aviva Systems Biology,AB_2894926,ANXA11,available,[11-12 Aug] Availability: Domestic: within 24 hours delivery | International: 3-5 days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
604,ARP87950_P050,Aviva Systems Biology,AB_2894925,ANXA11,available,[11-12 Aug] Availability: Domestic: within 24 hours delivery | International: 3-5 days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
605,GTX100047,GeneTex,AB_1080933,ANXA11,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
607,GTX84884,GeneTex,AB_10730690,ANXA11,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
609,10479-2-AP,Proteintech,AB_2057171,ANXA11,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
614,ab52607,abcam,AB_867704,APOE,available,[11-12 Aug] Price: Starts from $220,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
637,38313,Cell Signaling Technology,AB_2799131,GPNMB,available,[11-12 Aug] To Purchase # 38313; £475; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
638,AF2550,Bio-Techne (R&D Systems),AB_416615,GPNMB,available,[11-12 Aug] AF2550 In Stock - Arrives in 3 - 5 Business Days 100 ug / £464.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
643,13251,Cell Signaling Technology,AB_2798162,GPNMB,available,[11-12 Aug] To Purchase # 13251; £376; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
644,ab227695,abcam,AB_2924286,GPNMB,available,[11-12 Aug] Price: Starts from $260,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
645,ab235873,abcam,AB_3096344,GPNMB,available,[11-12 Aug] Price: Starts from $205,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
647,ab222109,abcam,AB_2941017,GPNMB,available,[11-12 Aug] Price: Starts from $225,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
652,ab51015,abcam,AB_867703,APOE,available,[11-12 Aug] Price: Starts from $210,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
654,GTX635889,GeneTex,AB_2909916,APOE,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
655,GTX635891,GeneTex,AB_2909917,APOE,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
658,18254-1-AP,Proteintech,AB_2878525,APOE,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
659,66830-1-Ig,Proteintech,AB_2882173,APOE,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
662,29765,Cell Signaling Technology,AB_2925221,APP,available,[11-12 Aug] To Purchase # 29765; £454; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
663,76600,Cell Signaling Technology,AB_2925222,APP,available,[11-12 Aug] To Purchase # 76600; £375; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
664,13-0200,Thermo Fisher Scientific,AB_2532993,APP,available,[11-12 Aug] 431.00 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
665,MA5-35187,Thermo Fisher Scientific,AB_2849091,APP,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
666,ab126732,abcam,AB_11131727,APP,available,[11-12 Aug] Price: Starts from $210,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
667,ab252816,abcam,AB_2925223,APP,available,[11-12 Aug] Price: Starts from $195,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
672,NBP2-61425,Bio-Techne (Novus Biologicals),AB_2885160,GRN,available,[11-12 Aug] NBP2-61425-25ul Arrives in 16 - 18 Business Days 25 ul / £263.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
674,ARP54642_P050,Aviva Systems Biology,AB_2904510,GRN,available,[11-12 Aug] Availability: Domestic: within 1-2 days delivery | International: 1-2 days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
676,MA1-187,Thermo Fisher Scientific,AB_2536878,GRN,available,[11-12 Aug] 395.65 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
677,ab187070,abcam,AB_2885106,GRN,available,[11-12 Aug] Price: Starts from $170,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
679,ab208777,abcam,AB_2885113,GRN,available,[11-12 Aug] Price: Starts from $175,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
681,GTX100803,GeneTex,AB_1240920,GRN,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
685,14-9749-80,Thermo Fisher Scientific,AB_2572977,APP,available,[11-12 Aug] 139.20 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
686,25524-1-AP,Proteintech,AB_2880118,APP,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
687,ab108977,abcam,AB_10890802,ARHGDIA,available,[11-12 Aug] Price: Starts from $575,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
688,ab133248,abcam,AB_11157730,ARHGDIA,available,[11-12 Aug] Price: Starts from $610,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
690,ab135252,abcam,AB_2893181,ARHGDIA,discontinued,"Abcam: page renders in full with no price and no buy panel, but carries NO discontinuation notice (OBSERVATION, NOT A QUOTE). Contrast Abcam discontinued controls ab4193/ab39969, whose titles read ""is not available"" and whose pages state ""This product is discontinued"".",no_purchase_option_no_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
691,MA5-25090,Thermo Fisher Scientific,AB_2725231,ARHGDIA,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
693,MA5-25081,Thermo Fisher Scientific,AB_2723577,ARHGDIA,available,[11-12 Aug] 395.00 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
694,10509-1-Ig,Proteintech,AB_2923266,ARHGDIA,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
695,66480-1-Ig,Proteintech,AB_2923267,ARHGDIA,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
696,NBP2-02467,Bio-Techne (Novus Biologicals),AB_2923268,ARHGDIA,available,[11-12 Aug] NBP2-02467 Contact Us For Delivery Time 0.1 ml / £425.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
697,GTX101428,GeneTex,AB_1241259,ARHGDIA,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
698,GTX60618,GeneTex,AB_2923269,ARHGDIA,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
699,GTX84860,GeneTex,AB_10733320,ARHGDIA,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
700,A11556,ABclonal,AB_2861595,ARHGDIA,available,[11-12 Aug] 100 μL/￡245 Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
701,2564,Cell Signaling Technology,AB_2274313,ARHGDIA,available,[11-12 Aug] To Purchase # 2564; £346; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
706,24472-1-AP,Proteintech,AB_2879560,ARHGEF2,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
709,ab190355,abcam,AB_2893200,ATP2B1,available,[11-12 Aug] Price: Starts from $520,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
710,PA1-914,Thermo Fisher Scientific,AB_2061563,ATP2B1,out_of_stock,[11-12 Aug] The product (cat # PA1-914) that you're looking for is temporarily unavailable. A suggested replacement is cat # PA5-85670,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,unclear
714,PA5-53775,Thermo Fisher Scientific,AB_2638320,ATXN2,discontinued,[11-12 Aug] Product Discontinued,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
715,PA5-54183,Thermo Fisher Scientific,AB_2638321,ATXN2,available,[11-12 Aug] 444.00 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
716,GTX130329,GeneTex,AB_2885139,ATXN2,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
720,ab254362,abcam,AB_2885130,ATXN2,available,[11-12 Aug] Price: Starts from $210,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
721,702788,Thermo Fisher Scientific,AB_2716894,ATXN3,available,[11-12 Aug] 465.00 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
723,13505-1-AP,Proteintech,AB_2061192,ATXN3,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
724,ab96316,abcam,AB_10680570,ATXN3,discontinued,[11-12 Aug] Anti-Ataxin 3 antibody (AB96316) is unavailable.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
729,GTX101343,GeneTex,AB_1240486,ATXN3,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
753,GTX102499,GeneTex,AB_10618733,CAPN2,discontinued,"[11-12 Aug] Calpain 2 antibody [N2C1], Internal (GTX102499) has been discontinued.",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
754,GTX111809,GeneTex,AB_10727594,CAPN2,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
755,ab126600,abcam,AB_11128480,CAPN2,available,[11-12 Aug] Price: Starts from $300,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
756,ab75994,abcam,AB_1523255,CAPN2,available,[11-12 Aug] Price: Starts from $540,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
758,2539,Cell Signaling Technology,AB_2069843,CAPN2,available,[11-12 Aug] To Purchase # 2539; £335; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
759,PA5-17494,Thermo Fisher Scientific,AB_10981526,CAPN2,available,[11-12 Aug] 335.65 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
760,PA5-82884,Thermo Fisher Scientific,AB_2790040,CAPN2,available,[11-12 Aug] 399.74 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
762,PA5-78912,Thermo Fisher Scientific,AB_2746028,CAPN2,available,[11-12 Aug] 315.21 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
763,MA5-32719,Thermo Fisher Scientific,AB_2809996,CAPN2,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
764,NBP2-67202,Bio-Techne (Novus Biologicals),AB_2892119,CAPN2,discontinued,[11-12 Aug] Product Discontinued,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
765,11472-1-AP,Proteintech,AB_10755306,CAPN2,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
767,81045,Cell Signaling Technology,AB_2799968,CCNF,available,[11-12 Aug] To Purchase # 81045; £375; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
782,25671-1-AP,Proteintech,AB_2880187,CHCHD10,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
783,MA5-27532,Thermo Fisher Scientific,AB_2724131,CHCHD10,available,[11-12 Aug] 384.73 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
784,MA5-27535,Thermo Fisher Scientific,AB_2724132,CHCHD10,available,[11-12 Aug] Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
785,MA5-27531,Thermo Fisher Scientific,AB_2724133,CHCHD10,available,[11-12 Aug] 384.73 / Add To Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
788,MA5-36184,Thermo Fisher Scientific,AB_2890433,CHMP2B,available,[11-12 Aug] View price in cart / Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
789,ab157208,abcam,AB_2885096,CHMP2B,available,[11-12 Aug] Price: Starts from $575,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
790,76173,Cell Signaling Technology,AB_2799880,CHMP2B,available,[11-12 Aug] To Purchase # 76173; £375; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
792,GTX109610,GeneTex,AB_11163162,CHMP2B,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
793,A13410,ABclonal,AB_2760272,CHMP2B,available,[11-12 Aug] 100 μL/￡240 Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
794,11509-1-AP,Proteintech,AB_2082140,CNN3,available,[11-12 Aug] Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
795,NBP2-38643,Bio-Techne (Novus Biologicals),AB_2934011,CNN3,available,[11-12 Aug] NBP2-38643-25ul Arrives in 16 - 18 Business Days 25 ul / £263.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
797,PA5-84057,Thermo Fisher Scientific,AB_2791209,CNN3,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
799,GTX106174,GeneTex,AB_11171002,CNN3,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
801,ARP85343_P050,Aviva Systems Biology,AB_2934012,CNN3,available,[11-12 Aug] Availability: Domestic: within 24 hours delivery | International: 3-5 days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
805,ab52864,abcam,AB_880690,CSF1,available,[11-12 Aug] Price: Starts from $340,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
806,ab99178,abcam,AB_11143555,CSF1,available,[11-12 Aug] Price: Starts from $200,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
813,GTX81735,GeneTex,AB_11173351,CSF1,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
817,ab45142,abcam,AB_777905,INPP5D,available,[11-12 Aug] Price: Starts from $220,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
819,AF10117,Bio-Techne (R&D Systems),AB_2940806,INPP5D,available,[11-12 Aug] AF10117-100 In Stock - Arrives in 7 - 9 Business Days 100 ug / £465.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
821,ARP61033_P050,Aviva Systems Biology,AB_10880098,INPP5D,available,[11-12 Aug] Availability: Domestic: within 1-2 days delivery | International: 1-2 days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
822,A3571,ABclonal,AB_2863092,INPP5D,available,[11-12 Aug] 100 μL/￡245 Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
823,A0122,ABclonal,AB_2769979,INPP5D,available,[11-12 Aug] 100 μL/￡240 Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
824,GTX03199,GeneTex,AB_2940807,INPP5D,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
826,GTX79893,GeneTex,AB_11170928,INPP5D,available,[11-12 Aug] Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
